*00  00 0      11       00工程                                                        
*00  13 0    1439       01経過時間                                時分                
*00  23 0    1439       00経過時間(ECUM)                          時分                
*00  33 0    1439       00残り時間(除水完了)                      時分                
*00  43 0    1439       00残り時間(透析完了)                      時分                
*00  51 2   39.99    0.001除水積算値                              L                   
*00  61 2    4.00    0.000除水速度                                L/h                 
*00  71 1    99.9     0.01血液循環量                              L                   
*00  81 0     600       00血流量                                  mL/min              
*00  91 1    99.9     0.01ＩＰ総量                                mL                  
*00 101 1  1500.0     0.00ＩＰ速度                                mL/h                
*00 111 0     500    -2000静脈圧                                  mmHg                
*00 121 0     600    -6000透析液圧                                mmHg                
*00 131 0     500    -1000ＴＭＰ                                  mmHg                
*00 141 0     500    -2000ﾀﾞｲｱﾗｲｻﾞｰ入口圧                         mmHg                
*00 151 0     500    -3000ﾀﾞｲｱﾗｲｻﾞｰ差圧                           mmHg                
*00 161 0     600    -2000血液入口～静脈平均圧                    mS/cm               
*00 171 1    10.0   -40.00⊿ＢＶ                                  ％                  
*00 181 2    9.99    0.000バイカーボ濃度                          mS/cm               
*00 191 1    99.9     0.00透析液濃度                              mS/cm               
*00 201 0     200       00Ｎａ濃度                                mEq/L               
*00 211 1    99.9    30.00透析液温度                              ℃                  
*00 221 0     999       00透析液流量                              mL/min              
*00 231 1     9.9     0.00漏血量                                  mL/L                
*00 241 0     100    -1000給液圧（上限）                          KPa                 
*00 251 0     100    -1000給液圧（下限）                          KPa                 
*00 261 2  300.00    0.000ＵＦＲ                                  mL/h/mmHg           
*00 271 0     100       00ＵＦＲ低下率                            ％                  
*00 281 2  300.00    0.000初期ＵＦＲ測定値                        mL/h/mmHg           
*00 291 1   800.0  -600.00ＴＭＰ補正値                            mmHg                
*00 303 0    1439       01透析運転時間                            分                  
*00 310 0      10       00治療モード                                                  
*00 321 2   39.90    0.000除水目標値                              L                   
*00 331 2    4.00    0.000除水速度設定値                          L/h                 
*00 341 1    40.0    33.00透析液温度設定値                        ℃                  
